date,cash,regime,note,BTCUSDT_qty,BTCUSDT_equity,ETHUSDT_qty,ETHUSDT_equity,XRPUSDT_qty,XRPUSDT_equity,SOLUSDT_qty,SOLUSDT_equity,ADAUSDT_qty,ADAUSDT_equity,DOGEUSDT_qty,DOGEUSDT_equity,HBARUSDT_qty,HBARUSDT_equity,TRXUSDT_qty,TRXUSDT_equity,LINKUSDT_qty,LINKUSDT_equity,XLMUSDT_qty,XLMUSDT_equity,VIRTUALUSDT_qty,VIRTUALUSDT_equity,SUIUSDT_qty,SUIUSDT_equity,HUMAUSDT_qty,HUMAUSDT_equity,PEPEUSDT_qty,PEPEUSDT_equity,portfolio_equity,btc_drawdown,buy_frozen,holdings_str
7/15/2025,0,,,0.005645839,664.8431831,0.821105489,2576.538701,1154.095203,3368.803898,0,0,4170.428317,3113.641781,1260.076219,250.994582,16911.30008,3941.685823,3346.871806,1005.734978,0,0,15412.41079,6958.70347,0,0,44.06519974,180.7290102,0,0,16012854.68,205.9253112,22267.60074,0,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, XLMUSDT, SUIUSDT, PEPEUSDT"
7/16/2025,0,,,0.005645839,669.7682741,0.821105489,2768.233989,1154.095203,3506.141228,0,0,4170.428317,3187.875405,1260.076219,268.0182117,16911.30008,3993.603515,3346.871806,1036.191511,0,0,15412.41079,6986.44581,0,0,44.06519974,173.7226435,0,0,16012854.68,216.8140523,22806.81464,0.017382089,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, XLMUSDT, SUIUSDT, PEPEUSDT"
7/17/2025,0,,,0.005645839,672.8572818,0.821105489,2854.87704,1154.095203,4017.867041,0,0,4170.428317,3426.423905,1260.076219,275.0242355,16911.30008,4676.989151,3346.871806,1056.272742,0,0,15412.41079,7664.591884,0,0,44.06519974,176.600101,0,0,16012854.68,214.091867,25035.59525,0.010102955,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, XLMUSDT, SUIUSDT, PEPEUSDT"
7/18/2025,0,,,0.005645839,665.7846267,0.821105489,2912.395479,1154.095203,3939.503976,0,0,4170.428317,3402.235421,1260.076219,297.1259723,16911.30008,4386.791242,3346.871806,1091.414896,62.52213322,1114.769635,13140.32123,6028.779379,0,0,44.06519974,166.6501789,0,0,16012854.68,207.8468537,24213.29766,0.005537496,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, LINKUSDT, XLMUSDT, SUIUSDT, PEPEUSDT"
7/19/2025,0,,,0.001945594,229.2688091,0.821105489,2949.419126,1154.095203,3952.083614,0,0,4170.428317,3460.621417,16019.0408,3867.477019,16911.30008,4506.692359,3346.871806,1063.970547,62.52213322,1149.78203,6475.619556,2985.260615,0,0,44.06519974,168.9724149,0,0,16012854.68,214.8925098,24548.44046,0.015990664,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, LINKUSDT, XLMUSDT, SUIUSDT, PEPEUSDT"
7/20/2025,0,,,0,0,2.041782549,7670.344083,1154.095203,3986.244832,0,0,4170.428317,3578.227496,16019.0408,4385.212418,8491.720044,2300.152208,3346.871806,1050.917747,119.715402,2306.915797,0,0,0,0,44.06519974,171.4576922,0,0,16012854.68,224.5002226,25673.9725,0.016698601,FALSE,"ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, LINKUSDT, SUIUSDT, PEPEUSDT"
7/21/2025,0,,,0,0,2.041782549,7681.859736,1154.095203,4096.460924,0,0,4170.428317,3707.927816,16609.5853,4508.173642,8491.720044,2302.614807,3346.871806,1051.921808,119.715402,2334.450339,0,0,0,0,2.351074336,9.312605445,0,0,16012854.68,225.6211224,25918.3428,0.021495616,FALSE,"ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, LINKUSDT, SUIUSDT, PEPEUSDT"
7/22/2025,0,,,0,0,1.555996645,5829.090192,1154.095203,4097.49961,9.348376916,1922.961132,4170.428317,3767.564941,16609.5853,4500.034945,8491.720044,2337.600694,3346.871806,1056.942116,119.715402,2353.604803,0,0,0,0,0,0,0,0,16012854.68,226.7420222,26092.04046,0.02053401,FALSE,"ETHUSDT, XRPUSDT, SOLUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, LINKUSDT, PEPEUSDT"
7/23/2025,0,,,0,0,1.10340584,4003.476374,1154.095203,3674.408308,17.55805147,3325.494948,4170.428317,3403.069506,16609.5853,4000.086428,8491.720044,2081.830086,3346.871806,1035.856824,119.715402,2176.426009,0,0,0,0,0,0,0,0,16012854.68,203.84364,23904.49212,0,FALSE,"ETHUSDT, XRPUSDT, SOLUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, LINKUSDT, PEPEUSDT"
7/24/2025,5231.716717,,,0,0,2.608563449,9669.788191,0,0,17.55805147,3210.840872,0,0,16609.5853,3856.413515,0,0,0,0,101.7709777,1822.71821,0,0,0,0,0,0,0,0,0,0,23791.47751,0.009990711,FALSE,"ETHUSDT, SOLUSDT, DOGEUSDT, LINKUSDT"
